64 113
0 1 9
0 14 8
0 15 8
1 2 8
2 13 9
3 2 8
3 4 7
3 12 8
4 5 8
4 11 9
5 6 7
5 9 8
6 7 8
6 8 9
6 9 8
7 8 8
8 9 8
8 23 8
9 10 8
9 21 8
9 23 8
10 11 8
10 21 8
11 12 8
11 21 7
12 13 7
12 19 8
13 14 7
13 18 8
14 15 7
14 17 8
15 16 9
16 17 8
16 30 8
16 31 9
17 30 8
18 19 8
18 28 8
18 30 7
19 20 9
19 28 8
20 28 7
21 22 8
21 26 8
22 23 8
22 25 8
23 25 9
23 24 8
24 25 8
24 39 8
25 26 9
25 39 8
26 27 8
26 37 8
27 28 8
28 29 8
28 34 8
28 35 8
28 36 9
29 30 8
30 31 8
30 32 8
30 33 7
30 34 8
32 47 8
33 47 8
33 34 8
34 35 8
34 46 9
35 45 7
35 36 8
36 37 8
36 42 9
36 43 8
37 38 8
37 41 7
38 40 7
39 40 8
40 55 8
41 54 8
42 53 8
42 54 9
43 52 8
44 51 8
44 52 9
45 46 8
45 49 8
46 47 8
46 49 8
47 48 7
47 49 7
48 63 8
48 62 8
49 50 8
49 62 8
50 51 8
50 61 8
50 62 8
50 60 9
51 52 8
52 59 8
53 54 8
53 59 8
53 54 8
54 56 8
54 58 8
55 56 8
56 57 8
57 58 7
59 60 8
60 61 8
61 62 7
62 63 8
